0	0	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	1
0	15	1
0	16	1
0	17	1
0	18	1
0	19	1
1	20	1
1	21	1
1	0	1
1	22	1
1	1	1
1	2	1
1	23	1
1	24	1
1	4	1
1	25	1
1	26	1
1	27	1
1	28	1
1	6	1
1	7	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	29	1
1	30	1
1	31	1
1	32	1
1	33	1
1	34	1
1	35	1
1	36	1
1	37	1
1	38	1
1	39	1
1	40	1
1	41	1
1	42	1
1	43	1
2	44	1
3	1	1
3	2	1
3	5	1
3	45	1
3	46	1
3	47	1
3	25	1
3	26	1
3	27	1
3	28	1
3	7	1
3	48	1
3	49	1
3	10	1
3	50	1
3	51	1
3	52	1
3	53	1
3	54	1
3	55	1
3	56	1
3	57	1
3	58	1
3	59	1
4	1	1
4	60	1
4	61	1
4	62	1
4	63	1
4	6	1
4	7	1
4	64	1
4	65	1
4	52	1
4	66	1
4	67	1
4	68	1
4	69	1
4	70	1
4	71	1
4	72	1
4	73	1
4	74	1
4	75	1
4	76	1
4	77	1
4	37	1
4	40	1
4	78	1
4	79	1
4	80	1
5	81	1
5	1	1
5	82	1
6	0	1
6	83	1
6	84	1
6	85	1
6	86	1
6	87	1
6	22	1
6	88	1
6	1	1
6	2	1
6	4	1
6	89	1
6	7	1
6	8	1
6	90	1
6	15	1
6	91	1
6	41	1
6	92	1
7	0	1
7	83	1
7	84	1
7	85	1
7	86	1
7	87	1
7	22	1
7	88	1
7	93	1
7	1	1
7	2	1
7	94	1
7	4	1
7	95	1
7	7	1
7	64	1
7	96	1
7	97	1
7	98	1
7	99	1
7	100	1
7	101	1
7	102	1
7	103	1
7	104	1
7	41	1
8	0	1
8	86	1
8	105	1
8	106	1
8	1	1
8	2	1
8	107	1
8	108	1
8	109	1
8	26	1
8	110	1
8	111	1
8	112	1
8	113	1
8	6	1
8	7	1
8	8	1
8	114	1
8	115	1
8	116	1
8	117	1
9	0	1
9	83	1
9	84	1
9	85	1
9	118	1
9	87	1
9	22	1
9	88	1
9	93	1
9	1	1
9	2	1
9	119	1
9	4	1
9	120	1
9	107	1
9	108	1
9	26	1
9	110	1
9	111	1
9	113	1
9	121	1
9	6	1
9	7	1
9	8	1
9	64	1
9	29	1
9	122	1
9	123	1
9	124	1
9	125	1
9	126	1
9	127	1
9	128	1
9	129	1
9	130	1
9	131	1
9	132	1
9	133	1
9	134	1
9	135	1
9	136	1
9	137	1
9	138	1
9	139	1
10	1	1
10	6	1
10	7	1
10	29	1
11	1	1
11	140	1
11	141	1
11	142	1
11	143	1
11	25	1
11	144	1
11	6	1
11	49	1
11	145	1
11	146	1
11	55	1
11	74	1
11	41	1
